Driver,Time,GapToLeader
1,0 days 01:46:28.866000,10.195
1,0 days 01:46:31.991000,10.166
1,0 days 01:46:35.473000,10.182
1,0 days 01:46:42.114000,9.94
1,0 days 01:46:47.445000,9.884
1,0 days 01:46:50.529000,9.82
1,0 days 01:46:54.719000,9.765
1,0 days 01:46:57.236000,9.723
1,0 days 01:47:01.626000,9.639
1,0 days 01:47:03.744000,9.564
1,0 days 01:47:10.302000,9.483
1,0 days 01:47:13.457000,9.48
1,0 days 01:47:16.458000,9.457
1,0 days 01:47:19.237000,9.418
1,0 days 01:47:21.409000,9.425
1,0 days 01:47:28.684000,9.432
1,0 days 01:47:34.002000,9.345
1,0 days 01:47:37.122000,9.296
1,0 days 01:47:39.717000,9.212
1,0 days 01:47:42.893000,9.192
1,0 days 01:47:47.282000,9.303
1,0 days 01:47:51.262000,9.281
1,0 days 01:47:54.331000,9.205
1,0 days 01:47:57.607000,9.166
1,0 days 01:48:04.419000,8.971
1,0 days 01:48:09.703000,8.929
1,0 days 01:48:12.839000,8.867
1,0 days 01:48:17.024000,8.819
1,0 days 01:48:19.598000,8.788
1,0 days 01:48:24.006000,8.732
1,0 days 01:48:26.131000,8.665
1,0 days 01:48:32.592000,8.54
1,0 days 01:48:35.768000,8.561
1,0 days 01:48:38.845000,8.524
1,0 days 01:48:41.591000,8.492
1,0 days 01:48:43.724000,8.489
1,0 days 01:48:50.882000,8.453
1,0 days 01:48:56.228000,8.317
1,0 days 01:48:59.413000,8.235
1,0 days 01:49:01.925000,8.109
1,0 days 01:49:05.129000,8.057
1,0 days 01:49:09.379000,7.965
1,0 days 01:49:13.384000,7.968
1,0 days 01:49:16.493000,7.924
1,0 days 01:49:19.895000,7.849
1,0 days 01:49:26.658000,7.585
1,0 days 01:49:31.935000,7.244
1,0 days 01:49:35.073000,4.292
1,0 days 01:49:39.218000,0.0
1,0 days 01:50:57.075000,0.0
1,0 days 01:52:19.102000,0.0
1,0 days 01:53:41.453000,0.0
1,0 days 01:55:04.112000,0.0
1,0 days 01:56:26.498000,0.0
1,0 days 01:57:48.966000,0.0
1,0 days 01:59:11.397000,0.0
1,0 days 02:00:33.865000,0.0
1,0 days 02:01:56.300000,0.0
1,0 days 02:03:18.583000,0.0
1,0 days 02:04:40.998000,0.0
1,0 days 02:06:03.542000,0.0
1,0 days 02:07:26.023000,0.0
1,0 days 02:08:48.758000,0.0
