Driver,Time,GapToLeader
10,0 days 01:07:48.767000,17.298
10,0 days 01:07:54.490000,17.332
10,0 days 01:07:57.143000,17.294
10,0 days 01:08:00.760000,17.372
10,0 days 01:08:04.464000,17.52
10,0 days 01:08:08.181000,17.577
10,0 days 01:08:10.420000,17.566
10,0 days 01:08:17.869000,17.99
10,0 days 01:08:20.994000,18.2
10,0 days 01:08:24.538000,18.231
10,0 days 01:08:27.983000,18.356
10,0 days 01:08:29.589000,18.436
10,0 days 01:08:32.008000,18.554
10,0 days 01:08:34.304000,18.598
10,0 days 01:08:37.248000,18.635
10,0 days 01:08:41.260000,18.842
10,0 days 01:08:45.857000,18.824
10,0 days 01:08:50.450000,18.812
10,0 days 01:08:53.150000,18.764
10,0 days 01:08:57.582000,18.994
10,0 days 01:09:02.050000,19.078
10,0 days 01:09:07.166000,19.034
10,0 days 01:09:10.527000,18.975
10,0 days 01:09:19.233000,19.152
10,0 days 01:09:21.181000,19.188
10,0 days 01:09:26.700000,19.099
10,0 days 01:09:29.305000,18.937
10,0 days 01:09:32.954000,19.002
10,0 days 01:09:36.702000,19.247
10,0 days 01:09:40.405000,19.291
10,0 days 01:09:42.687000,19.311
10,0 days 01:09:50.260000,19.837
10,0 days 01:09:53.456000,20.118
10,0 days 01:09:57.047000,20.167
10,0 days 01:10:00.479000,20.412
10,0 days 01:10:02.127000,20.52
10,0 days 01:10:04.580000,20.633
10,0 days 01:10:06.907000,20.662
10,0 days 01:10:09.898000,20.76
10,0 days 01:10:13.931000,21.033
10,0 days 01:10:18.539000,21.01
10,0 days 01:10:23.121000,20.99
10,0 days 01:10:25.917000,21.019
10,0 days 01:10:30.476000,21.367
10,0 days 01:10:34.897000,21.397
10,0 days 01:10:39.789000,21.164
10,0 days 01:10:42.901000,20.882
10,0 days 01:10:52.113000,21.512
10,0 days 01:10:52.117000,21.512
10,0 days 01:10:54.106000,21.586
10,0 days 01:10:59.729000,21.617
10,0 days 01:11:02.433000,21.617
10,0 days 01:11:02.507000,21.656
10,0 days 01:11:06.449000,22.048
10,0 days 01:11:10.367000,22.396
10,0 days 01:11:14.136000,22.515
10,0 days 01:11:16.473000,22.543
10,0 days 01:11:23.844000,22.863
10,0 days 01:11:26.890000,22.999
10,0 days 01:11:30.393000,22.991
10,0 days 01:11:33.770000,23.1
10,0 days 01:11:35.427000,23.265
10,0 days 01:11:37.923000,23.372
10,0 days 01:11:40.201000,23.405
10,0 days 01:11:43.130000,23.466
10,0 days 01:11:47.173000,23.676
10,0 days 01:11:51.791000,23.607
10,0 days 01:11:56.301000,23.534
10,0 days 01:11:59.029000,23.455
10,0 days 01:12:03.378000,23.641
10,0 days 01:12:07.843000,23.743
10,0 days 01:12:13.011000,23.726
10,0 days 01:12:16.405000,23.707
10,0 days 01:12:25.289000,23.947
10,0 days 01:12:27.205000,23.958
10,0 days 01:12:32.771000,23.973
10,0 days 01:12:35.565000,23.973
10,0 days 01:12:39.071000,24.001
10,0 days 01:12:42.863000,24.238
10,0 days 01:12:46.526000,24.291
10,0 days 01:12:48.740000,24.272
10,0 days 01:12:56.219000,24.604
10,0 days 01:12:59.286000,24.778
10,0 days 01:13:02.832000,24.817
10,0 days 01:13:06.333000,24.948
10,0 days 01:13:07.907000,25.053
10,0 days 01:13:10.345000,25.128
10,0 days 01:13:12.623000,25.156
10,0 days 01:13:15.520000,25.195
10,0 days 01:13:19.571000,25.419
10,0 days 01:13:24.192000,25.417
10,0 days 01:13:28.709000,25.345
10,0 days 01:13:31.468000,25.295
10,0 days 01:13:35.868000,25.513
10,0 days 01:13:40.305000,25.591
10,0 days 01:13:45.466000,25.58
10,0 days 01:13:48.893000,25.562
10,0 days 01:13:57.774000,25.864
10,0 days 01:13:59.745000,25.906
10,0 days 01:14:05.335000,25.93
10,0 days 01:14:08.111000,25.919
10,0 days 01:14:11.650000,25.924
10,0 days 01:14:15.511000,26.223
10,0 days 01:14:19.175000,26.265
10,0 days 01:14:21.389000,26.251
10,0 days 01:14:28.814000,26.618
10,0 days 01:14:31.871000,26.768
10,0 days 01:14:35.406000,26.765
10,0 days 01:14:38.727000,26.809
10,0 days 01:14:40.393000,26.954
10,0 days 01:14:42.872000,26.974
10,0 days 01:14:45.182000,26.983
10,0 days 01:14:48.097000,27.079
10,0 days 01:14:52.095000,27.285
10,0 days 01:14:56.740000,27.259
10,0 days 01:15:01.184000,27.181
10,0 days 01:15:03.897000,27.136
10,0 days 01:15:08.470000,27.445
10,0 days 01:15:12.907000,27.494
10,0 days 01:15:18.060000,27.501
10,0 days 01:15:21.462000,27.506
10,0 days 01:15:30.413000,27.839
10,0 days 01:15:32.373000,27.864
10,0 days 01:15:37.973000,27.895
10,0 days 01:15:40.751000,27.901
10,0 days 01:15:44.393000,27.989
10,0 days 01:15:48.139000,28.178
10,0 days 01:15:51.779000,28.238
10,0 days 01:15:54.018000,28.229
10,0 days 01:16:01.512000,28.616
10,0 days 01:16:04.616000,28.735
10,0 days 01:16:08.125000,28.771
10,0 days 01:16:11.474000,28.905
10,0 days 01:16:13.121000,29.037
10,0 days 01:16:15.609000,29.083
10,0 days 01:16:17.870000,29.101
10,0 days 01:16:20.820000,29.182
10,0 days 01:16:24.795000,29.391
10,0 days 01:16:29.412000,29.372
10,0 days 01:16:33.908000,29.359
10,0 days 01:16:36.646000,29.33
10,0 days 01:16:41.128000,29.553
10,0 days 01:16:45.586000,29.63
10,0 days 01:16:50.754000,29.633
10,0 days 01:16:54.157000,29.633
10,0 days 01:17:02.946000,29.846
10,0 days 01:17:05.026000,29.877
10,0 days 01:17:10.484000,29.895
10,0 days 01:17:13.299000,29.893
10,0 days 01:17:16.940000,29.952
10,0 days 01:17:20.656000,30.181
10,0 days 01:17:24.410000,30.27
10,0 days 01:17:26.597000,30.214
10,0 days 01:17:34.111000,30.679
10,0 days 01:17:37.214000,30.846
10,0 days 01:17:40.765000,30.868
10,0 days 01:17:44.189000,30.992
10,0 days 01:17:45.858000,31.124
10,0 days 01:17:48.357000,31.204
10,0 days 01:17:50.600000,31.232
10,0 days 01:17:53.523000,31.301
10,0 days 01:17:57.610000,31.582
10,0 days 01:18:02.208000,31.559
10,0 days 01:18:06.764000,31.521
10,0 days 01:18:09.442000,31.484
10,0 days 01:18:14.016000,31.73
10,0 days 01:18:18.410000,31.816
10,0 days 01:18:23.588000,31.816
10,0 days 01:18:27.021000,31.82
10,0 days 01:18:35.917000,32.044
10,0 days 01:18:37.822000,32.082
10,0 days 01:18:43.551000,32.11
10,0 days 01:18:46.279000,32.112
10,0 days 01:18:49.768000,32.042
10,0 days 01:18:53.588000,32.314
10,0 days 01:18:57.311000,32.365
10,0 days 01:18:59.536000,32.309
10,0 days 01:19:07.093000,32.83
10,0 days 01:19:10.214000,33.033
10,0 days 01:19:13.771000,33.069
10,0 days 01:19:17.274000,33.125
10,0 days 01:19:18.778000,33.275
10,0 days 01:19:21.259000,33.368
10,0 days 01:19:23.635000,33.401
10,0 days 01:19:26.543000,33.413
10,0 days 01:19:30.588000,33.694
10,0 days 01:19:35.236000,33.719
10,0 days 01:19:39.817000,33.712
10,0 days 01:19:42.541000,33.65
10,0 days 01:19:47.031000,33.849
10,0 days 01:19:51.473000,33.943
10,0 days 01:19:56.664000,33.935
10,0 days 01:20:00.094000,33.925
10,0 days 01:20:08.930000,34.079
10,0 days 01:20:10.857000,34.087
10,0 days 01:20:16.406000,34.1
10,0 days 01:20:19.160000,34.085
10,0 days 01:20:22.757000,34.09
10,0 days 01:20:26.602000,34.409
10,0 days 01:20:30.300000,34.449
10,0 days 01:20:32.512000,34.383
10,0 days 01:20:40.098000,34.876
10,0 days 01:20:43.260000,35.11
10,0 days 01:20:46.872000,35.186
10,0 days 01:20:50.229000,35.358
10,0 days 01:20:51.977000,35.522
10,0 days 01:20:54.400000,35.566
10,0 days 01:20:56.667000,35.581
10,0 days 01:20:59.584000,35.624
10,0 days 01:20:59.595000,35.624
10,0 days 01:21:03.724000,35.896
10,0 days 01:21:08.310000,35.867
10,0 days 01:21:12.874000,35.855
10,0 days 01:21:15.535000,35.814
10,0 days 01:21:20.201000,36.083
10,0 days 01:21:24.627000,36.175
10,0 days 01:21:29.804000,36.191
10,0 days 01:21:33.230000,36.208
10,0 days 01:21:42.162000,36.517
10,0 days 01:21:44.079000,36.551
10,0 days 01:21:49.705000,36.587
10,0 days 01:21:52.522000,36.582
10,0 days 01:21:56.066000,36.577
10,0 days 01:22:00.169000,36.945
10,0 days 01:22:03.632000,36.999
10,0 days 01:22:05.876000,36.964
10,0 days 01:22:13.516000,37.548
10,0 days 01:22:16.729000,37.814
10,0 days 01:22:20.267000,37.862
10,0 days 01:22:23.670000,38.0
10,0 days 01:22:25.329000,38.103
10,0 days 01:22:27.779000,38.199
10,0 days 01:22:30.062000,38.233
10,0 days 01:22:32.977000,38.233
10,0 days 01:22:32.979000,38.281
10,0 days 01:22:37.150000,38.669
10,0 days 01:22:41.802000,38.661
10,0 days 01:22:46.390000,38.68
10,0 days 01:22:49.121000,38.66
10,0 days 01:22:53.785000,38.856
10,0 days 01:22:58.170000,38.984
10,0 days 01:23:03.375000,39.022
10,0 days 01:23:06.831000,39.051
10,0 days 01:23:15.820000,39.374
10,0 days 01:23:17.747000,39.372
10,0 days 01:23:23.362000,39.382
10,0 days 01:23:26.107000,39.375
10,0 days 01:23:29.742000,39.378
10,0 days 01:23:33.594000,39.638
10,0 days 01:23:37.319000,39.705
10,0 days 01:23:39.678000,39.705
10,0 days 01:23:39.819000,39.98
10,0 days 01:23:47.905000,41.027
10,0 days 01:23:51.211000,41.34
10,0 days 01:23:54.810000,41.401
10,0 days 01:23:58.562000,41.839
10,0 days 01:24:02.756000,41.839
10,0 days 01:24:13.113000,41.839
10,0 days 01:24:15.883000,41.839
10,0 days 01:24:21.102000,41.839
10,0 days 01:24:38.144000,63.982
10,0 days 01:24:42.720000,63.973
10,0 days 01:24:45.408000,63.871
10,0 days 01:24:49.764000,63.92
10,0 days 01:24:54.075000,63.874
10,0 days 01:24:59.332000,63.886
10,0 days 01:25:02.700000,63.92
10,0 days 01:25:11.347000,63.87
10,0 days 01:25:13.234000,63.851
10,0 days 01:25:18.840000,63.871
10,0 days 01:25:21.634000,63.893
10,0 days 01:25:25.195000,63.897
10,0 days 01:25:28.831000,63.904
10,0 days 01:25:32.431000,63.932
10,0 days 01:25:34.697000,63.92
10,0 days 01:25:41.856000,63.982
10,0 days 01:25:44.940000,64.042
10,0 days 01:25:48.352000,64.02
10,0 days 01:25:51.657000,64.042
10,0 days 01:25:53.172000,64.064
10,0 days 01:25:55.581000,64.025
10,0 days 01:25:57.872000,64.026
10,0 days 01:26:00.699000,63.983
10,0 days 01:26:00.714000,63.983
10,0 days 01:26:04.587000,64.051
10,0 days 01:26:09.216000,63.983
10,0 days 01:26:13.724000,63.92
10,0 days 01:26:16.417000,63.848
10,0 days 01:26:20.686000,63.802
10,0 days 01:26:24.963000,63.718
10,0 days 01:26:30.216000,63.712
10,0 days 01:26:33.599000,63.724
10,0 days 01:26:42.312000,63.785
10,0 days 01:26:44.231000,63.772
10,0 days 01:26:49.842000,63.777
10,0 days 01:26:52.605000,63.785
10,0 days 01:26:56.080000,63.676
10,0 days 01:26:59.812000,63.749
10,0 days 01:27:03.412000,63.762
10,0 days 01:27:05.661000,63.763
10,0 days 01:27:12.888000,63.839
10,0 days 01:27:15.851000,63.824
10,0 days 01:27:19.353000,63.831
10,0 days 01:27:22.629000,63.812
10,0 days 01:27:24.238000,63.896
10,0 days 01:27:26.644000,63.861
10,0 days 01:27:28.968000,63.855
10,0 days 01:27:31.885000,63.874
10,0 days 01:27:35.728000,63.88
10,0 days 01:27:40.409000,63.847
10,0 days 01:27:44.869000,63.778
10,0 days 01:27:47.523000,63.712
10,0 days 01:27:51.828000,63.606
10,0 days 01:27:56.245000,63.56
10,0 days 01:28:01.403000,63.555
10,0 days 01:28:04.856000,63.562
10,0 days 01:28:13.403000,63.377
10,0 days 01:28:15.327000,63.367
10,0 days 01:28:20.963000,63.395
10,0 days 01:28:23.677000,63.392
10,0 days 01:28:27.267000,63.433
10,0 days 01:28:30.878000,63.403
10,0 days 01:28:34.504000,63.405
10,0 days 01:28:36.732000,63.422
10,0 days 01:28:43.891000,63.285
10,0 days 01:28:46.923000,63.308
10,0 days 01:28:50.396000,63.273
10,0 days 01:28:53.768000,63.311
10,0 days 01:28:55.235000,63.307
10,0 days 01:28:57.683000,63.287
10,0 days 01:28:59.955000,63.298
10,0 days 01:29:02.921000,63.293
10,0 days 01:29:06.679000,63.234
10,0 days 01:29:11.276000,63.159
10,0 days 01:29:15.801000,63.142
10,0 days 01:29:18.494000,63.09
10,0 days 01:29:22.959000,63.061
10,0 days 01:29:27.226000,63.046
10,0 days 01:29:32.420000,63.05
10,0 days 01:29:35.820000,63.071
10,0 days 01:29:44.630000,62.982
10,0 days 01:29:46.451000,62.97
10,0 days 01:29:52.127000,62.993
10,0 days 01:29:54.918000,63.013
10,0 days 01:29:58.461000,62.934
10,0 days 01:30:02.024000,62.894
10,0 days 01:30:05.650000,62.893
10,0 days 01:30:07.856000,62.833
10,0 days 01:30:15.042000,62.806
10,0 days 01:30:18.182000,62.804
10,0 days 01:30:21.569000,62.802
10,0 days 01:30:24.851000,62.829
10,0 days 01:30:26.478000,62.907
10,0 days 01:30:28.937000,62.916
10,0 days 01:30:31.218000,62.933
10,0 days 01:30:34.078000,62.947
10,0 days 01:30:38.028000,62.954
10,0 days 01:30:42.594000,62.894
10,0 days 01:30:47.090000,62.866
10,0 days 01:30:49.763000,62.761
10,0 days 01:30:54.137000,62.678
10,0 days 01:30:58.492000,62.621
10,0 days 01:31:03.675000,62.606
10,0 days 01:31:07.092000,62.61
10,0 days 01:31:15.778000,62.542
10,0 days 01:31:17.644000,62.55
10,0 days 01:31:23.330000,62.555
10,0 days 01:31:26.040000,62.554
10,0 days 01:31:29.600000,62.57
10,0 days 01:31:33.471000,62.497
10,0 days 01:31:36.827000,62.477
10,0 days 01:31:39.093000,62.484
