Driver,Time,GapToLeader
1,0 days 01:20:41.733000,6.571
1,0 days 01:20:47.453000,6.869
1,0 days 01:20:54.364000,6.864
1,0 days 01:20:59.032000,7.049
1,0 days 01:21:06.397000,7.344
1,0 days 01:21:09.545000,7.33
1,0 days 01:21:13.508000,7.23
1,0 days 01:21:14.587000,7.184
1,0 days 01:21:17.534000,7.072
1,0 days 01:21:19.370000,6.953
1,0 days 01:21:21.368000,6.94
1,0 days 01:21:25.597000,7.074
1,0 days 01:21:28.404000,7.247
1,0 days 01:21:31.397000,7.275
1,0 days 01:21:34.024000,7.236
1,0 days 01:21:36.075000,7.172
1,0 days 01:21:42.357000,7.302
1,0 days 01:21:46.279000,7.288
1,0 days 01:21:48.153000,7.213
1,0 days 01:21:52.867000,7.494
1,0 days 01:21:58.315000,7.583
1,0 days 01:22:03.927000,7.796
1,0 days 01:22:10.927000,7.844
1,0 days 01:22:15.548000,7.966
1,0 days 01:22:22.847000,8.266
1,0 days 01:22:26.063000,8.253
1,0 days 01:22:29.949000,8.157
1,0 days 01:22:31.068000,8.11
1,0 days 01:22:33.552000,8.004
1,0 days 01:22:35.887000,7.896
1,0 days 01:22:37.867000,7.86
1,0 days 01:22:42.126000,8.018
1,0 days 01:22:44.993000,8.165
1,0 days 01:22:47.936000,8.19
1,0 days 01:22:50.739000,8.158
1,0 days 01:22:52.703000,8.094
1,0 days 01:22:58.951000,8.221
1,0 days 01:23:02.860000,8.212
1,0 days 01:23:04.748000,8.153
1,0 days 01:23:09.427000,8.298
1,0 days 01:23:14.878000,8.363
1,0 days 01:23:20.451000,8.612
1,0 days 01:23:27.488000,8.679
1,0 days 01:23:32.023000,8.805
1,0 days 01:23:39.281000,8.969
1,0 days 01:23:42.523000,8.962
1,0 days 01:23:46.456000,8.886
1,0 days 01:23:47.514000,8.849
1,0 days 01:23:49.992000,8.756
1,0 days 01:23:52.285000,8.663
1,0 days 01:23:54.316000,8.597
1,0 days 01:23:58.552000,8.735
1,0 days 01:24:01.302000,8.817
1,0 days 01:24:04.263000,8.826
1,0 days 01:24:06.967000,8.791
1,0 days 01:24:09.028000,8.743
1,0 days 01:24:15.247000,8.926
1,0 days 01:24:19.258000,8.926
1,0 days 01:24:21.111000,8.869
1,0 days 01:24:25.683000,9.079
1,0 days 01:24:31.107000,9.166
1,0 days 01:24:36.726000,9.412
1,0 days 01:24:43.625000,9.425
1,0 days 01:24:48.320000,9.547
1,0 days 01:24:55.551000,9.774
1,0 days 01:24:58.684000,9.762
1,0 days 01:25:02.614000,9.683
1,0 days 01:25:03.725000,9.648
1,0 days 01:25:06.212000,9.557
1,0 days 01:25:08.565000,9.47
1,0 days 01:25:10.568000,9.45
1,0 days 01:25:14.726000,9.588
1,0 days 01:25:17.545000,9.676
