Driver,LapNumber,GapTime
OCO,4.000,16.864
PER,4.000,17.589
HUL,4.000,19.875
STR,4.000,31.947
BOT,4.000,29.006
BEA,4.000,22.371
ALB,4.000,28.926
GAS,4.000,22.999
HAD,4.000,7.535
ALO,4.000,21.646
RUS,4.333,0.0
NOR,4.333,3.218
ANT,4.333,0.541
PIA,4.333,4.954
LEC,4.333,5.82
HAM,4.333,4.231
VER,4.333,7.019
LIN,4.333,10.186
COL,4.333,13.063
SAI,4.333,12.232
LAW,4.333,21.622
BOR,4.333,23.199
OCO,4.333,17.497
PER,4.333,18.356
HUL,4.333,20.516
STR,4.333,33.027
BOT,4.333,30.84
BEA,4.333,23.874
ALB,4.333,30.142
GAS,4.333,24.068
HAD,4.333,14.633
ALO,4.333,22.713
RUS,4.667,0.0
NOR,4.667,3.269
ANT,4.667,0.582
PIA,4.667,5.116
LEC,4.667,5.899
HAM,4.667,4.46
VER,4.667,7.234
LIN,4.667,10.606
COL,4.667,13.417
SAI,4.667,12.765
LAW,4.667,22.326
BOR,4.667,24.163
OCO,4.667,18.609
PER,4.667,19.455
HUL,4.667,21.331
STR,4.667,34.226
BOT,4.667,32.178
BEA,4.667,25.46
ALB,4.667,31.382
GAS,4.667,25.534
HAD,4.667,20.421
ALO,4.667,23.689
RUS,5.000,0.0
NOR,5.000,2.996
ANT,5.000,0.238
PIA,5.000,4.714
LEC,5.000,5.339
HAM,5.000,4.244
VER,5.000,6.96
LIN,5.000,10.606
COL,5.000,13.36
SAI,5.000,12.886
LAW,5.000,22.651
BOR,5.000,24.455
OCO,5.000,19.092
PER,5.000,19.605
HUL,5.000,21.719
STR,5.000,35.572
BOT,5.000,32.776
BEA,5.000,26.943
ALB,5.000,32.374
GAS,5.000,26.011
HAD,5.000,29.409
ALO,5.000,24.199
RUS,5.333,0.0
NOR,5.333,1.944
ANT,5.333,0.422
PIA,5.333,3.86
LEC,5.333,4.461
HAM,5.333,3.26
VER,5.333,5.83
LIN,5.333,9.669
COL,5.333,12.687
SAI,5.333,12.153
LAW,5.333,21.81
BOR,5.333,24.462
OCO,5.333,
PER,5.333,19.139
HUL,5.333,21.029
STR,5.333,35.358
BOT,5.333,33.1
BEA,5.333,26.773
ALB,5.333,31.965
GAS,5.333,25.176
HAD,5.333,31.669
ALO,5.333,23.814
RUS,5.667,0.0
NOR,5.667,1.001
ANT,5.667,1.156
PIA,5.667,3.005
LEC,5.667,3.606
HAM,5.667,2.285
VER,5.667,4.9719999999999995
LIN,5.667,8.997
COL,5.667,12.021
SAI,5.667,11.45
LAW,5.667,21.203
BOR,5.667,24.295
OCO,5.667,17.92
PER,5.667,18.709
HUL,5.667,20.532
STR,5.667,35.398
BOT,5.667,33.284
BEA,5.667,27.224
ALB,5.667,32.189
GAS,5.667,24.632
HAD,5.667,35.554
ALO,5.667,23.839
RUS,6.000,0.0
NOR,6.000,1.042
ANT,6.000,2.034
PIA,6.000,3.11
LEC,6.000,3.435
HAM,6.000,2.517
VER,6.000,5.197
LIN,6.000,9.393
COL,6.000,12.767
SAI,6.000,12.387
LAW,6.000,21.709
BOR,6.000,24.576999999999998
OCO,6.000,18.838
PER,6.000,19.288
HUL,6.000,21.419
STR,6.000,36.584
BOT,6.000,34.628
BEA,6.000,28.124
ALB,6.000,33.149
GAS,6.000,25.622
HAD,6.000,43.569
ALO,6.000,25.246
RUS,6.333,0.0
NOR,6.333,1.102
ANT,6.333,2.178
PIA,6.333,3.411
LEC,6.333,3.923
HAM,6.333,2.836
VER,6.333,5.352
LIN,6.333,9.664
COL,6.333,13.713
SAI,6.333,13.236
LAW,6.333,22.694
BOR,6.333,25.327
OCO,6.333,19.499
PER,6.333,20.161
HUL,6.333,22.101
STR,6.333,37.353
BOT,6.333,35.96
BEA,6.333,28.962
ALB,6.333,33.855
GAS,6.333,26.858
HAD,6.333,47.363
ALO,6.333,26.353
RUS,6.667,0.0
NOR,6.667,0.951
ANT,6.667,1.968
PIA,6.667,3.355
LEC,6.667,4.176
HAM,6.667,2.615
VER,6.667,5.342
LIN,6.667,9.738
COL,6.667,13.921
SAI,6.667,13.404
LAW,6.667,23.178
BOR,6.667,25.838
OCO,6.667,20.076
PER,6.667,20.696
HUL,6.667,22.385
STR,6.667,38.047
BOT,6.667,36.776
BEA,6.667,29.727
ALB,6.667,34.193
GAS,6.667,27.512
HAD,6.667,52.881
ALO,6.667,27.311
RUS,7.000,0.0
NOR,7.000,0.755
ANT,7.000,1.814
PIA,7.000,3.1390000000000002
LEC,7.000,4.476
HAM,7.000,2.438
VER,7.000,5.322
LIN,7.000,9.943999999999999
COL,7.000,14.11
SAI,7.000,14.464
LAW,7.000,23.272
BOR,7.000,26.198
OCO,7.000,20.937
PER,7.000,21.751
HUL,7.000,22.766
STR,7.000,38.901
BOT,7.000,37.7
BEA,7.000,30.294
ALB,7.000,35.283
GAS,7.000,27.959
HAD,7.000,
ALO,7.000,28.493
RUS,7.333,0.0
NOR,7.333,0.765
ANT,7.333,1.7730000000000001
PIA,7.333,3.275
LEC,7.333,4.4879999999999995
HAM,7.333,2.533
VER,7.333,5.4879999999999995
LIN,7.333,10.123
COL,7.333,14.564
SAI,7.333,15.345
LAW,7.333,23.96
BOR,7.333,26.533
OCO,7.333,21.602
PER,7.333,22.755
HUL,7.333,23.319
STR,7.333,39.723
BOT,7.333,38.884
BEA,7.333,30.931
ALB,7.333,35.81
GAS,7.333,28.451
HAD,7.333,212.299
ALO,7.333,29.468
RUS,7.667,0.0
