Driver,LapNumber,GapTime
BOR,4.000,19.545
BEA,4.000,16.335
HUL,4.000,18.288
OCO,4.000,19.25
SAI,4.000,20.737
ALB,4.000,22.981
BOT,4.000,27.117
ALO,4.000,29.774
STR,4.000,28.497
PER,4.000,68.016
ANT,4.333,0.483
HAM,4.333,0.0
NOR,4.333,5.791
RUS,4.333,7.79
LEC,4.333,8.425
VER,4.333,6.2780000000000005
PIA,4.333,9.644
LAW,4.333,12.206
HAD,4.333,14.866
LIN,4.333,13.045
GAS,4.333,13.127
COL,4.333,14.539
BOR,4.333,19.848
BEA,4.333,16.662
HUL,4.333,18.701999999999998
OCO,4.333,19.292
SAI,4.333,20.778
ALB,4.333,23.242
BOT,4.333,27.786
ALO,4.333,30.812
STR,4.333,29.874
PER,4.333,68.598
ANT,4.667,0.787
HAM,4.667,0.0
NOR,4.667,6.13
RUS,4.667,8.303
LEC,4.667,8.974
VER,4.667,7.073
PIA,4.667,10.243
LAW,4.667,13.544
HAD,4.667,16.318
LIN,4.667,14.795
GAS,4.667,15.378
COL,4.667,15.985
BOR,4.667,21.408
BEA,4.667,17.971
HUL,4.667,20.087
OCO,4.667,20.983
SAI,4.667,22.57
ALB,4.667,24.591
BOT,4.667,29.991
ALO,4.667,33.285
STR,4.667,32.621
PER,4.667,70.355
ANT,5.000,0.923
HAM,5.000,0.0
NOR,5.000,6.398
RUS,5.000,8.49
LEC,5.000,9.417
VER,5.000,7.42
PIA,5.000,10.607
LAW,5.000,14.04
HAD,5.000,17.104
LIN,5.000,15.267
GAS,5.000,16.013
COL,5.000,16.966
BOR,5.000,22.298
BEA,5.000,18.782
HUL,5.000,20.591
OCO,5.000,21.981
SAI,5.000,23.4
ALB,5.000,25.501
BOT,5.000,30.979
ALO,5.000,34.423
STR,5.000,33.554
PER,5.000,71.519
ANT,5.333,0.42
HAM,5.333,0.0
NOR,5.333,6.3469999999999995
RUS,5.333,8.319
LEC,5.333,8.907
VER,5.333,6.906
PIA,5.333,10.369
LAW,5.333,13.91
HAD,5.333,17.051
LIN,5.333,15.321
GAS,5.333,15.962
COL,5.333,18.035
BOR,5.333,22.287
BEA,5.333,18.909
HUL,5.333,20.54
OCO,5.333,21.743
SAI,5.333,23.211
ALB,5.333,25.633
BOT,5.333,31.502
ALO,5.333,35.166
STR,5.333,34.646
PER,5.333,72.084
ANT,5.667,0.617
HAM,5.667,0.0
NOR,5.667,6.287
RUS,5.667,8.36
LEC,5.667,9.197
VER,5.667,7.257
PIA,5.667,10.850999999999999
LAW,5.667,14.9
HAD,5.667,17.962
LIN,5.667,16.461
GAS,5.667,17.231
COL,5.667,19.272
BOR,5.667,23.365
BEA,5.667,20.011
HUL,5.667,21.776
OCO,5.667,23.093
SAI,5.667,24.734
ALB,5.667,27.016
BOT,5.667,33.354
ALO,5.667,37.648
STR,5.667,37.161
PER,5.667,73.765
ANT,6.000,0.718
HAM,6.000,0.0
NOR,6.000,6.588
RUS,6.000,8.614
LEC,6.000,9.75
VER,6.000,7.6
PIA,6.000,11.252
LAW,6.000,15.559
HAD,6.000,18.261
LIN,6.000,17.06
GAS,6.000,17.877
COL,6.000,20.161
