Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-09-02 13:45:19,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,
2023-09-02 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-02 14:04:39,Other,CAR 1 (VER) TIME 1:22.047 DELETED - TRACK LIMITS AT TURN 7 LAP 3 16:03:49,,,,,
2023-09-02 14:07:22,Other,CAR 14 (ALO) TIME 1:22.480 DELETED - TRACK LIMITS AT TURN 7 LAP 3 16:06:25,,,,,
2023-09-02 14:09:20,Other,CAR 18 (STR) TIME 1:37.255 DELETED - TRACK LIMITS AT TURN 2 LAP 3 16:05:59,,,,,
2023-09-02 14:11:06,Other,CAR 31 (OCO) TIME 1:23.248 DELETED - TRACK LIMITS AT TURN 10 LAP 5 16:10:29,,,,,
2023-09-02 14:15:28,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 5 16:06:59,,,,,
2023-09-02 14:15:59,Other,CAR 81 (PIA) TIME 1:22.235 DELETED - TRACK LIMITS AT TURN 7 LAP 8 16:14:53,,,,,
2023-09-02 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-02 14:18:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,
2023-09-02 14:18:40,Other,CAR 24 (ZHO) TIME 1:22.429 DELETED - TRACK LIMITS AT TURN 7 LAP 8 16:18:00,,,,,
2023-09-02 14:20:48,Other,INCIDENT INVOLVING CARS 16 (LEC) AND 55 (SAI) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME,,,,,
2023-09-02 14:21:28,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 16 (LEC) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME,,,,,
2023-09-02 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-02 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-02 14:40:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,
2023-09-02 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,
2023-09-02 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-09-02 15:00:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,
2023-09-02 15:02:05,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 16 (LEC) AND 55 (SAI) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM LAP TIME,,,,,
